human_gene_symbol	human_chromosome
KIR2DL5B	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KIR2DL5B	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
KIR2DS2	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KIR2DL2	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
KIR2DS2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
KIR2DP1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
KIR2DS4	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
KIR3DL2	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1
KRT20	CHR_HSCHR17_4_CTG4
KIR2DL1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1
NCR1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KRTAP3-1	CHR_HSCHR17_4_CTG4
KIR3DP1	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
KRTAP3-2	CHR_HSCHR17_4_CTG4
KIR2DL2	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
KRTAP4-9	CHR_HSCHR17_4_CTG4
KRTAP2-4	CHR_HSCHR17_4_CTG4
	CHR_HSCHR17_4_CTG4
KRT23	CHR_HSCHR17_4_CTG4
KIR2DP1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
PIWIL1	CHR_HSCHR12_5_CTG2_1
KIR3DL1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
KIR3DS1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
KIR2DS4	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
KIR2DS4	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
SNTG2	CHR_HSCHR2_4_CTG1
KIR3DL3	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
FTCD	CHR_HSCHR21_5_CTG2
TPO	CHR_HSCHR2_4_CTG1
	KI270734.1
KIR2DS4	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
KIR3DL2	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
KIR2DS1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
KIR3DP1	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
LILRP1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
IMPDH1P5	CHR_HSCHR10_1_CTG4
KIR2DP1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
KIR2DS5	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
FCAR	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
DLG5	CHR_HSCHR10_1_CTG4
	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
KRT40	CHR_HSCHR17_4_CTG4
KIR3DL2	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
	CHR_HSCHR21_5_CTG2
FTCD-AS1	CHR_HSCHR21_5_CTG2
LSS	CHR_HSCHR21_5_CTG2
ADI1	CHR_HSCHR2_1_CTG1
KRTAP1-1	CHR_HSCHR17_4_CTG4
TRAPPC12	CHR_HSCHR2_1_CTG1
KIR3DL2	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KRTAP4-11	CHR_HSCHR17_4_CTG4
KRTAP2-5P	CHR_HSCHR17_4_CTG4
KRTAP1-3	CHR_HSCHR17_4_CTG4
KRTAP4-16	CHR_HSCHR17_4_CTG4
KRT12	CHR_HSCHR17_4_CTG4
KRTAP1-5	CHR_HSCHR17_4_CTG4
	CHR_HSCHR2_1_CTG1
KRT39	CHR_HSCHR17_4_CTG4
KRTAP3-4P	CHR_HSCHR17_4_CTG4
KRTAP2-1	CHR_HSCHR17_4_CTG4
KRTAP3-3	CHR_HSCHR17_4_CTG4
KRTAP2-3	CHR_HSCHR17_4_CTG4
KRTAP4-12	CHR_HSCHR17_4_CTG4
KRTAP1-4	CHR_HSCHR17_4_CTG4
KIR3DL3	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
	CHR_HSCHR3_9_CTG3
	CHR_HSCHR12_5_CTG2_1
MREGP1	CHR_HSCHR12_4_CTG2
KIR3DP1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
	CHR_HSCHR12_4_CTG2
KIR3DL2	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ANKRD18DP	CHR_HSCHR3_9_CTG3
SPATC1L	CHR_HSCHR21_5_CTG2
KIR2DS4	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
KIR2DL5A	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
NCR1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
KIR2DS1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
RNU6-821P	CHR_HSCHR3_9_CTG3
KIR3DL2	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
SINHCAF	CHR_HSCHR12_4_CTG2
	CHR_HSCHR2_4_CTG1
LILRP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
KIR2DL3	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
DHX36	CHR_HSCHR3_2_CTG2_1
KIR2DS3	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1
	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
NCR1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
	CHR_HSCHR7_2_CTG7
	CHR_HSCHR18_2_CTG2
ARHGEF26	CHR_HSCHR3_2_CTG2_1
DSEL-AS1	CHR_HSCHR18_2_CTG2
DSEL	CHR_HSCHR18_2_CTG2
	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
KIR3DL2	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
KIR2DP1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1
AP2A2	CHR_HSCHR11_2_CTG1
KIR3DP1	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
	CHR_HSCHR18_3_CTG2_1
KIR2DS4	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
KIR2DP1	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1
GARRE1	CHR_HSCHR19_1_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1
CTDP1	CHR_HSCHR18_3_CTG2_1
LSM14A	CHR_HSCHR19_1_CTG3_1
	CHR_HSCHR10_1_CTG4
DLG5-AS1	CHR_HSCHR10_1_CTG4
ARHGEF26-AS1	CHR_HSCHR3_2_CTG2_1
KIR2DS2	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1
RN7SL284P	CHR_HSCHR10_1_CTG4
RNU6-1266P	CHR_HSCHR10_1_CTG4
KIR3DP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
KIR2DS4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
MUC6	CHR_HSCHR11_2_CTG1
PRB1	CHR_HSCHR12_5_CTG2
KIR2DL3	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
KIR2DS3	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
LILRP1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
KIR2DP1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
	CHR_HSCHR19_1_CTG3_1
	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
KIR3DS1	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
RNU6-1025P	CHR_HSCHR11_2_CTG1
SBNO2	CHR_HSCHR19_4_CTG2
	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
KIR2DP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ZNF965P	CHR_HSCHR13_1_CTG3
GXYLT1P1	CHR_HSCHR13_1_CTG3
CYP4F34P	CHR_HSCHR13_1_CTG3
CNN2P12	CHR_HSCHR13_1_CTG3
SNX18P26	CHR_HSCHR13_1_CTG3
LINC00328-2P	CHR_HSCHR13_1_CTG3
ANKRD20A9P	CHR_HSCHR13_1_CTG3
RNU6-55P	CHR_HSCHR13_1_CTG3
	CHR_HSCHR13_1_CTG3
	GL000195.1
	CHR_HSCHR4_1_CTG6
KIR3DL3	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1
CRIM1	CHR_HSCHR2_1_CTG5
KIR2DL2	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1
SUDS3P1	CHR_HSCHR5_3_CTG5
	CHR_HSCHR5_3_CTG5
RPL21P36	CHR_HSCHR2_1_CTG5
PROP1	CHR_HSCHR5_3_CTG5
CRIM1-DT	CHR_HSCHR2_1_CTG5
LILRP1	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1
	CHR_HSCHR17_3_CTG4
SEPTIN9-DT	CHR_HSCHR17_3_CTG4
KIR2DL1	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1
SEPTIN9	CHR_HSCHR17_3_CTG4
	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1
